filepath,filename,actor_id,emotion,emotion_code,intensity_code,statement_code,repetition_code,sample_rate,duration,pitch_mean,pitch_std,speech_energy,energy_variance,zero_crossing_rate,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_variance,mfcc_2_variance,mfcc_3_variance,mfcc_4_variance,mfcc_5_variance,mfcc_6_variance,mfcc_7_variance,mfcc_8_variance,mfcc_9_variance,mfcc_10_variance,mfcc_11_variance,mfcc_12_variance,mfcc_13_variance
audio data\Audios\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,1,Calm,2,2,2,1,48000,4.204208333333334,53.54220007364372,3.2854999501245445,0.002051211,5.380593e-06,0.0515254153481012,-735.9587,83.71625,8.72074,16.973064,1.3004172,16.308208,-2.9989035,8.180385,-9.681773,1.4794084,-8.105539,-3.2144182,3.27963,35227.336,6827.5825,723.8039,704.8371,136.24461,318.71017,167.13542,123.44929,212.03644,80.67392,173.45024,83.770744,104.354324
audio data\Audios\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,1,Calm,2,2,2,2,48000,4.004,52.794850173833154,3.6033648841379695,0.0020813276,7.2829807e-06,0.0510877244015957,-724.8058,83.05965,0.8636632,13.715781,5.3935223,15.342071,-3.8907716,6.682707,-9.109154,-2.3108945,-7.557554,-2.6653075,4.4087005,31824.936,7135.618,527.1545,774.44916,118.888794,317.3721,155.63402,110.21075,167.57948,76.1718,138.70871,67.80418,92.24633
audio data\Audios\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,1,Happy,3,1,1,1,48000,3.470145833333333,66.91198811711226,9.295200008774035,0.004056211,3.48913e-05,0.0557015073811349,-679.53876,78.69846,0.6677377,10.39002,5.20702,11.52523,-7.0435305,2.0349188,-6.769452,-3.4523165,-8.604058,-2.1430967,2.153603,28101.006,6701.7617,498.072,418.84106,257.89883,334.26712,292.7363,90.64516,158.35631,74.11404,192.21582,76.95316,96.04508
audio data\Audios\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,1,Happy,3,1,1,2,48000,3.470125,65.01001099553476,9.846109710838098,0.004627866,4.7666446e-05,0.0390310462998466,-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575347,24331.646,6831.867,574.5512,384.10687,266.9954,308.42975,319.5668,117.56821,136.21974,85.021065,248.85873,84.42672,59.601917
audio data\Audios\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,1,Happy,3,1,2,1,48000,3.536854166666666,61.4448850121648,6.89073374134785,0.0036503486,2.7700047e-05,0.0486619328878012,-693.60925,77.67328,2.3561034,12.037886,5.2729096,9.537619,-5.2778487,3.814017,-8.264009,-3.2064865,-11.793282,-2.4545708,4.334239,28378.928,7091.432,420.30576,572.32983,149.02469,293.4599,315.33002,93.42022,194.67339,87.41996,265.5275,76.30955,102.69738
audio data\Audios\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,1,Happy,3,1,2,2,48000,3.703708333333333,58.53284848754318,5.689027688324145,0.0036507975,2.2491327e-05,0.0566279970366379,-683.93146,74.13294,1.0578566,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.5876675,-1.8747079,-10.637551,-2.1259463,2.790956,31096.414,6751.764,473.5888,671.4696,232.71175,321.80652,334.05603,114.92273,206.33064,78.27182,302.49655,77.78204,110.23866
audio data\Audios\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,1,Happy,3,2,1,1,48000,3.670333333333333,92.2252529317358,19.24064546406502,0.006117453,8.392892e-05,0.0630222486413043,-627.4205,67.704384,-6.669489,9.967615,-3.0760913,7.208737,-5.0634565,-2.993555,-10.524828,-4.989577,-8.107446,-8.3624735,0.3314784,26763.861,5469.3965,601.7388,344.5089,306.8487,344.42798,291.22195,160.22672,219.48483,84.50657,121.550125,161.89479,61.153687
audio data\Audios\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,1,Happy,3,2,1,2,48000,3.636958333333333,86.53539513394853,19.220368944095952,0.0077350195,0.00014931343,0.0531582203079178,-591.9702,72.971,-6.905822,4.645147,0.41286427,8.77231,-4.1541224,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126159,4.071781,21518.68,5381.433,614.704,259.24783,234.50557,305.444,235.78532,153.87827,141.27815,128.96327,244.73007,234.73785,67.05339
audio data\Audios\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,1,Happy,3,2,2,1,48000,3.93725,75.19567923253986,15.893990548156404,0.010461957,0.00019672686,0.0670383762668919,-554.2307,70.283676,-10.080169,11.619575,-1.2718133,10.0290985,-6.932471,-0.29826084,-9.17895,-6.3009877,-12.87689,-5.1817317,3.789686,25806.584,5503.201,525.499,600.5427,248.47275,349.59653,415.63763,106.76727,161.6594,148.54076,275.56296,127.94078,115.66712
audio data\Audios\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,1,Happy,3,2,2,2,48000,3.937270833333333,79.4671255370381,11.41216817092539,0.009871895,0.00016877099,0.0594884923986486,-568.1388,70.80917,-8.760222,11.967098,-2.9723809,10.001248,-8.551405,0.02781801,-9.052507,-6.3288474,-12.138224,-7.093578,1.7016895,28206.354,6016.7607,531.789,537.49054,331.43506,354.24518,388.73038,120.72981,208.13272,111.17443,244.79903,130.89043,82.57562
audio data\Audios\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,1,Sad,4,1,1,1,48000,3.8371666666666666,58.39887720467448,6.033889989115343,0.0020295018,9.848829e-06,0.0394070095486111,-715.8727,74.985306,2.9195237,11.441712,6.960729,13.466071,-6.72605,4.7315598,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796025,22994.238,6241.6626,308.22525,523.9625,160.54553,362.14142,233.29955,97.799835,156.25673,71.53519,114.37693,50.716904,72.91139
audio data\Audios\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,1,Sad,4,1,1,2,48000,3.5702291666666666,54.5226188150363,6.285914013497998,0.0019012076,8.488724e-06,0.042949801772388,-732.4854,80.96551,3.486698,13.03123,8.979398,14.107941,-4.78729,6.040529,-4.208775,-5.16262,-7.1502514,-4.6642747,-0.3132725,26434.395,6647.8306,572.6613,533.5091,199.20444,324.81665,283.1746,84.74533,143.1087,83.40623,85.79172,60.7993,56.333992
audio data\Audios\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,1,Sad,4,1,2,1,48000,3.5035,53.585577432248,3.897284533802461,0.0016949223,6.238859e-06,0.0292167315729483,-766.6507,73.99263,2.4763806,10.077653,7.9288044,11.792142,-5.2503986,4.038565,-4.807725,-4.9669833,-7.7130547,-2.5745971,0.20226562,29758.408,7964.828,299.62686,583.71295,145.82292,282.95386,226.31117,80.336754,118.298256,86.07697,137.97694,64.217026,40.40342
audio data\Audios\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,1,Sad,4,1,2,2,48000,3.370041666666667,54.83957764779121,5.213808949504426,0.002220619,1.0636086e-05,0.0407498516613924,-736.81494,70.96664,4.8449197,13.2525215,7.9328127,11.802074,-4.9299836,6.692443,-3.7731934,-5.046368,-8.592158,-2.9672074,-0.14794531,26862.203,7298.7153,462.1309,679.1608,195.9031,251.10518,220.36746,104.36704,109.54124,82.8119,209.53221,53.996872,67.73162
audio data\Audios\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,1,Sad,4,2,1,1,48000,3.8037916666666662,56.50161702293574,4.071084245045395,0.0027989103,1.4541094e-05,0.0440574667366946,-704.1285,77.837975,5.096841,14.805322,8.49169,14.999446,-6.490629,5.851003,-5.3327923,-4.5298414,-6.2781534,-1.552901,0.51038957,24795.607,7150.124,573.8177,548.444,211.61362,323.31522,300.2297,78.10514,148.12839,98.896706,137.14117,77.450676,65.865906
audio data\Audios\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,1,Sad,4,2,1,2,48000,3.703708333333333,65.02036538436693,10.46169358464847,0.004511432,5.3635333e-05,0.042810198904454,-652.2412,69.28093,-3.6923711,11.728852,3.0127633,11.101811,-6.1069927,-1.5688689,-6.384501,-5.752694,-10.740143,-4.3840003,1.180043,23432.908,6815.3486,394.64484,573.66766,174.83913,296.22275,242.47353,108.885864,128.55988,95.61879,201.05725,66.91587,59.357914
audio data\Audios\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,1,Sad,4,2,2,1,48000,3.7370833333333335,64.71868519754042,10.359111060620686,0.0048372704,4.6900892e-05,0.0421605123753561,-650.43463,71.005745,-1.6740128,11.137108,6.426337,11.243235,-6.4243813,1.0434883,-7.5295334,-6.578289,-13.766916,-3.7808657,1.1671071,25683.555,7417.6396,441.7687,526.831,158.28441,307.94043,253.61046,88.73693,196.95409,125.34642,329.89917,58.53027,48.545326
audio data\Audios\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,1,Sad,4,2,2,2,48000,3.7370625,62.03569119711816,8.570472803149755,0.0058990936,6.0394905e-05,0.0416499732905982,-636.48676,70.95319,-4.674072,14.9717245,3.303352,11.239858,-7.639233,1.0996048,-7.3877835,-5.972332,-11.932848,-3.008971,1.6879239,31149.191,7044.93,417.55933,515.79517,183.93109,270.53128,296.67752,76.692764,217.72502,122.65225,286.7778,57.174255,74.19345
audio data\Audios\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,1,Angry,5,1,1,1,48000,3.8705416666666665,77.1792159351077,19.513866516841222,0.008106401,0.00016114207,0.0688933905819559,-578.9886,62.405315,-8.723745,13.807444,1.7894554,6.853797,-6.7793736,1.681231,-3.1294827,-0.87246543,-9.711343,-3.9222546,1.1898443,27566.297,5005.94,580.61365,760.87915,308.88965,282.73712,347.68335,135.11261,112.37006,63.78707,191.11096,90.86625,80.31934
audio data\Audios\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,1,Angry,5,1,1,2,48000,3.937270833333333,89.1355841800982,24.410776590273088,0.009117907,0.00016683342,0.0704075168918919,-558.0903,60.273037,-9.1174965,13.649889,-2.485257,6.0296597,-7.8237543,0.52188706,-7.946145,-5.875875,-9.344623,-5.446145,-1.7070967,28202.465,4729.5386,572.19073,716.2927,446.775,312.27582,316.96283,139.54442,193.92052,106.052765,143.78593,101.02212,74.221794
audio data\Audios\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,1,Angry,5,1,2,1,48000,3.5035,68.43867795389595,15.444408368101604,0.0066069933,0.000102004924,0.0606938046162614,-595.0243,58.63152,-2.327618,13.655263,2.586828,7.25531,-6.0467424,2.112173,-5.7803307,-4.3421254,-9.432346,-3.4377162,-0.09518726,23812.46,5785.9414,469.66263,755.423,211.33789,299.4873,309.66733,100.08228,131.92477,85.29939,220.19493,75.113,72.27278
audio data\Audios\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,1,Angry,5,1,2,2,48000,3.7370625,73.8293430004738,13.445182458906444,0.010389194,0.00023936333,0.0750436810007122,-557.4183,59.952057,-3.6888146,12.916796,-0.0137892505,8.49737,-7.3896728,1.7407537,-4.216524,-5.3085866,-10.202172,-4.530848,0.68083215,25872.445,6176.9194,517.2381,750.6006,233.9407,292.6682,401.02316,109.43076,135.92383,97.90747,238.01212,91.871056,119.161
audio data\Audios\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,1,Angry,5,2,1,1,48000,4.104104166666667,157.77065202354547,21.88256281287481,0.051100224,0.00529994,0.087502536525974,-382.96606,53.877857,-23.295197,4.5904512,-9.281444,-0.87772375,-10.370431,-2.3168542,-15.354205,-8.7570095,-11.345289,-7.9053793,-5.038463,28019.432,2559.4883,980.494,314.58475,371.8553,385.11218,406.32162,111.53627,275.85077,100.18651,161.39938,113.38767,118.05583
audio data\Audios\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,1,Angry,5,2,1,2,48000,4.371041666666667,110.90325028718092,23.44444650547955,0.031457525,0.0018988223,0.1139434070121951,-398.33093,52.28169,-28.397718,12.267398,-10.859696,3.720289,-12.748709,-1.972765,-11.157867,-6.1966987,-13.095329,-9.452902,-1.8068535,19473.482,3482.1033,1146.9819,344.6933,440.25235,404.2785,354.2834,176.24763,241.6698,73.94925,150.21463,132.88927,122.907135
audio data\Audios\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,1,Angry,5,2,2,1,48000,4.137458333333333,111.3465472835884,26.413553222275496,0.03165411,0.0021608653,0.1226945070876288,-433.96576,53.986023,-22.437214,10.337305,-7.014483,4.4466424,-9.936925,-1.8927364,-10.486032,-7.3606787,-12.758347,-6.5644193,-1.5250014,29342.46,3838.85,748.9657,584.5543,239.60616,287.38876,537.36914,142.16443,149.54314,120.34659,201.26494,100.67392,92.99077
audio data\Audios\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,1,Angry,5,2,2,2,48000,4.437770833333333,146.90860673473833,36.99737660231004,0.08850297,0.014526155,0.1278594312050359,-338.97913,44.90493,-24.296865,3.9212265,-13.2807255,1.4560022,-13.051088,-4.972659,-16.886797,-7.3687496,-14.381403,-8.851163,-2.0966728,33662.58,2747.0486,870.9685,285.8486,394.82336,349.0416,472.82675,127.65021,290.9508,91.67417,199.41925,114.160934,100.09968
audio data\Audios\Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,1,Fear,6,1,1,1,48000,3.670333333333333,63.28870585567601,9.181452061333614,0.0056743654,6.977589e-05,0.0588428442028985,-620.86926,72.92555,3.069638,15.845615,5.0054407,15.862975,-6.974336,2.558235,-6.399506,-6.247275,-8.1957035,-2.013455,0.49049407,25548.402,5250.1714,475.60458,345.75406,188.77995,349.26132,257.34457,76.76402,155.78375,118.8362,186.30124,84.74241,84.471535
audio data\Audios\Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,1,Fear,6,1,1,2,48000,3.636979166666667,75.74172840582261,11.808993050599522,0.005428494,5.682088e-05,0.0600514342008797,-635.4471,72.67471,-2.951787,10.282644,2.1318831,12.7642765,-7.8575134,0.48864105,-9.560815,-9.200944,-11.435256,-3.8575084,0.2552432,26444.885,5906.6123,429.3007,353.5724,149.74565,304.89795,313.23804,50.2725,185.43448,133.07855,212.87395,86.46107,71.33073
audio data\Audios\Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,1,Fear,6,1,2,1,48000,3.4367708333333336,55.28424819700896,8.398697145084128,0.0047868155,4.401335e-05,0.0521538796439628,-646.4345,74.19784,4.969642,20.310244,7.6789846,16.816557,-2.4131546,6.36743,-4.006638,-2.782018,-5.3320427,0.04226609,2.033845,26845.703,5851.719,507.783,544.52136,253.1908,301.97403,246.71382,92.36182,232.7954,124.69845,223.67668,74.715385,104.06814
audio data\Audios\Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,1,Fear,6,1,2,2,48000,3.7036875,58.16531056770764,4.976839219916658,0.00442941,3.5356425e-05,0.0554311467313218,-648.97406,78.302345,-1.7424381,14.431586,6.2418766,14.4565525,-5.611793,4.6549683,-8.24646,-6.148351,-7.476689,-0.2118336,0.5937344,28983.85,6651.453,454.4992,530.689,146.924,332.91556,190.31409,86.745445,149.89159,90.4111,191.8125,59.076244,91.30912
audio data\Audios\Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,1,Fear,6,2,1,1,48000,5.005,94.9665528338294,22.495267765926304,0.015618024,0.00072122726,0.0917625914228723,-474.58643,74.83671,-14.510592,9.21777,-4.863628,11.183943,-1.273364,3.74777,-9.133905,-9.742279,-9.53531,-3.4553623,3.3027103,19007.986,2048.3948,607.1322,340.61206,273.46683,275.0993,277.25092,116.63625,125.15222,93.060074,146.35435,95.616776,94.48616
audio data\Audios\Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,1,Fear,6,2,2,1,48000,3.970625,114.13500991881172,20.422993355563342,0.035744805,0.0026654399,0.1048822888739946,-400.78815,62.260452,-16.549139,5.909251,-9.460677,5.056807,-7.2992,0.83104795,-14.260063,-13.714011,-12.319691,-9.456751,-2.0069785,18950.76,2444.3037,803.63855,355.61368,357.9173,325.3058,482.16208,166.87596,138.99628,117.557014,167.01912,144.79329,66.93881
audio data\Audios\Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,1,Fear,6,2,2,2,48000,3.9039166666666665,112.41711007695515,15.886215431198996,0.024112962,0.0012557514,0.0812027727971311,-452.25665,64.263695,-13.6770115,5.033825,-7.836293,9.111504,-4.4770555,-1.2374461,-15.050168,-9.26992,-12.923943,-9.072722,2.0990417,20605.191,3034.5806,726.4971,350.99744,291.98804,274.83743,308.13916,143.11888,153.04741,142.64441,189.95132,155.13864,75.74026
audio data\Audios\Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,1,Disgust,7,1,1,1,48000,3.870520833333333,68.46053978113386,19.43729653636435,0.0024997578,1.32713e-05,0.075787168560606,-681.2215,78.88362,0.12867522,11.79581,0.9876598,13.565272,-6.526605,3.7329946,-9.42451,-3.3148096,-10.4992075,-4.464769,2.7165937,19811.879,4754.0186,939.8394,760.2162,338.79352,361.356,271.09418,160.62218,190.4342,64.58188,169.89427,94.43993,86.99298
audio data\Audios\Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,1,Disgust,7,1,1,2,48000,3.903895833333333,87.62696308698547,36.74851088201844,0.0028929436,1.9124265e-05,0.0766334742144808,-653.0073,65.54431,1.4677504,11.092944,-4.316812,13.434914,-7.126188,1.5093213,-10.470179,-2.389424,-11.8359375,-3.84144,0.7690639,21712.855,4041.332,871.5878,696.0928,233.36377,385.6413,238.03703,160.04793,189.61108,81.0661,191.98631,98.16482,115.398926
audio data\Audios\Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,1,Disgust,7,1,2,1,48000,3.903895833333333,56.51981177839097,6.003450865290223,0.0027418216,1.2313606e-05,0.0532626793032786,-700.34393,84.596725,5.775723,14.642682,3.4342353,12.270109,-4.2028184,8.19937,-12.218773,-3.790657,-6.892418,0.20407355,-0.9369471,30508.207,6900.519,426.02353,881.2774,244.62111,257.3196,302.67883,107.06329,259.76758,101.89775,107.46606,51.84585,96.85261
audio data\Audios\Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,1,Disgust,7,1,2,2,48000,3.8371666666666666,61.09368730201231,9.226984021360025,0.0028235773,1.593722e-05,0.0522976345486111,-693.2808,68.03404,1.9750909,11.899816,2.2685304,9.418974,-4.04369,7.1341934,-12.038191,-2.4839942,-6.6857424,0.20061964,1.3775651,28386.96,7199.702,316.0594,859.8024,171.6834,203.5566,238.82669,96.274826,263.4269,86.666115,114.06979,60.79554,83.004326
audio data\Audios\Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,1,Disgust,7,2,1,2,48000,4.104104166666667,118.95905001744606,34.640878193492966,0.011843513,0.00028971286,0.0851270799512987,-520.6225,55.43349,-12.775218,10.560292,-9.087996,3.5373573,-11.609045,-4.7857094,-18.184767,-8.228541,-6.405702,-6.278636,-1.595709,19321.184,4004.8286,826.46014,536.7079,342.3665,249.0541,313.50327,98.33375,294.10303,109.38059,64.4569,147.58765,156.31465
audio data\Audios\Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,1,Disgust,7,2,2,1,48000,4.037375,91.9282192515777,19.96271660552473,0.011015684,0.0002427523,0.0703125,-549.6085,59.821617,3.9864697,18.777025,-10.736347,5.5345674,-5.5263953,0.8657929,-15.8455925,-6.6470613,-3.756177,-5.951642,-7.9454827,24964.1,5440.1885,917.1087,628.2897,483.77225,337.14108,252.15201,88.73038,339.28687,102.492035,65.96337,118.596535,131.04572
audio data\Audios\Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,1,Disgust,7,2,2,2,48000,4.371020833333334,100.94502227270978,37.6280236794243,0.0111991055,0.00025233725,0.0735244378810975,-525.6453,56.05402,-0.55531645,9.288038,-6.9809046,5.484957,-6.4863153,-1.6713593,-15.754068,-7.530371,-6.282212,-4.10962,-4.791883,19914.0,4727.3823,640.1146,513.79584,369.652,226.40633,311.33978,79.872955,351.4199,137.0588,97.36324,155.79173,179.20972
audio data\Audios\Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,1,Surprise,8,1,1,1,48000,3.403395833333333,68.65187486518862,15.517002038456855,0.0029146448,2.5236144e-05,0.0349639892578125,-679.2995,64.041115,2.5253556,9.743006,2.0743146,10.626677,-5.171599,0.6371584,-5.9340224,-3.8285363,-6.00671,-5.4047394,1.9098551,21176.11,5829.025,463.73837,401.20996,268.4063,364.5723,189.24106,76.8605,121.75448,50.233013,93.45461,102.92757,56.043343
audio data\Audios\Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,1,Surprise,8,1,1,2,48000,3.2699166666666666,62.19075072654218,7.7158818749815214,0.0029287005,2.4439389e-05,0.0313088482288273,-707.25446,65.81219,0.39867368,8.45983,4.743755,11.846096,-4.4687295,-0.018804843,-6.092442,-3.4243653,-7.3909144,-1.4570595,1.3017485,26108.018,6977.146,390.6446,378.63025,220.23318,348.70084,169.01137,58.739902,138.69688,53.47622,121.44739,47.257298,42.657303
