filename,actual_emotion,predicted_emotion,predicted_stress,angry_probability,disgust_probability,fear_probability,happy_probability,sad_probability,surprise_probability,neutral_probability,confidence
10196.png,Angry,Angry,Severe_Stress,0.50285435,0.088986225,0.21810856,0.08431142,0.042610656,0.04802268,0.015106101,0.50285435
10202.png,Angry,Angry,Severe_Stress,0.71869755,0.022371344,0.10649953,0.0060909763,0.07828916,0.050567493,0.01748393,0.71869755
10207.png,Angry,Angry,Severe_Stress,0.50863314,0.17139183,0.071734086,0.0019348924,0.104942836,0.0016177866,0.13974541,0.50863314
10214.png,Angry,Angry,Severe_Stress,0.41426075,0.15826543,0.15357518,0.0393049,0.16098206,0.0068462756,0.06676546,0.41426075
10215.png,Angry,Angry,Severe_Stress,0.43489853,0.098151125,0.0931283,0.048337195,0.25585172,0.0101848915,0.059448257,0.43489853
10223.png,Angry,Angry,Severe_Stress,0.31715634,0.035690352,0.045227587,0.25387344,0.10514791,0.012435351,0.23046896,0.31715634
10226.png,Angry,Disgust,Moderate_Stress,0.3150933,0.33508027,0.18889533,0.030206688,0.10475841,0.004582084,0.02138401,0.33508027
1024.png,Angry,Sad,Mild_Stress,0.20677763,0.12646866,0.13843946,0.010405412,0.2655534,0.009775035,0.24258034,0.2655534
10240.png,Angry,Angry,Severe_Stress,0.26157358,0.05222362,0.22461914,0.008645139,0.120194696,0.14347614,0.18926772,0.26157358
10242.png,Angry,Angry,Severe_Stress,0.2741632,0.106661536,0.15917847,0.03609958,0.17171101,0.034697488,0.21748869,0.2741632
10250.png,Angry,Sad,Mild_Stress,0.28370696,0.11825191,0.08614102,0.025077278,0.3965906,0.0045214724,0.085710816,0.3965906
10251.png,Angry,Sad,Mild_Stress,0.19235438,0.21191315,0.105087146,0.049769364,0.27837682,0.01267543,0.14982362,0.27837682
10253.png,Angry,Disgust,Moderate_Stress,0.06674649,0.3080025,0.10108653,0.0136017045,0.20829059,0.014719968,0.28755224,0.3080025
10265.png,Angry,Neutral,Healthy,0.27636755,0.08210713,0.08731678,0.0073562376,0.19646983,0.016033528,0.334349,0.334349
10286.png,Angry,Angry,Severe_Stress,0.3758712,0.14762811,0.13278633,0.004483132,0.21737094,0.0017405594,0.1201197,0.3758712
10287.png,Angry,Surprise,Mild_Stress,0.20811026,0.01161712,0.13472147,0.06268119,0.024979178,0.53705543,0.020835334,0.53705543
10302.png,Angry,Sad,Mild_Stress,0.22360432,0.09262934,0.17684485,0.006037207,0.2504861,0.012539662,0.2378585,0.2504861
10310.png,Angry,Happy,Healthy,0.15770794,0.020969186,0.026011758,0.7430211,0.026713716,0.009082026,0.016494313,0.7430211
10315.png,Angry,Angry,Severe_Stress,0.33017462,0.19034939,0.13952948,0.014647974,0.12495644,0.04343043,0.15691175,0.33017462
10325.png,Angry,Sad,Mild_Stress,0.24361594,0.11095288,0.100419715,0.16707365,0.27522326,0.013305392,0.08940926,0.27522326
10336.png,Angry,Angry,Severe_Stress,0.3330932,0.21549414,0.07829348,0.03834361,0.11921643,0.024419002,0.19114009,0.3330932
10338.png,Angry,Sad,Mild_Stress,0.17252767,0.09467823,0.19908556,0.081351645,0.19911008,0.080682665,0.17256422,0.19911008
10348.png,Angry,Angry,Severe_Stress,0.31357422,0.24241562,0.10824521,0.2834033,0.041812457,0.006364843,0.004184376,0.31357422
10359.png,Angry,Angry,Severe_Stress,0.46083525,0.11500035,0.14738998,0.04815886,0.088541456,0.07657389,0.06350024,0.46083525
10363.png,Angry,Sad,Mild_Stress,0.127419,0.09929093,0.2752295,0.012916379,0.297662,0.0513107,0.13617148,0.297662
10364.png,Angry,Sad,Mild_Stress,0.29113612,0.08417938,0.1562028,0.002754177,0.40900487,0.004316291,0.052406393,0.40900487
10371.png,Angry,Angry,Severe_Stress,0.34437907,0.029636327,0.10069457,0.04135124,0.3171998,0.0051474115,0.16159154,0.34437907
10373.png,Angry,Angry,Severe_Stress,0.34529936,0.19175534,0.15918386,0.012025231,0.22879021,0.013257298,0.04968863,0.34529936
10377.png,Angry,Sad,Mild_Stress,0.11265563,0.20202646,0.13900112,0.013788738,0.26963913,0.012678104,0.25021085,0.26963913
10378.png,Angry,Angry,Severe_Stress,0.48253474,0.02754339,0.15807562,0.0717067,0.1845618,0.0101296,0.065448105,0.48253474
10382.png,Angry,Angry,Severe_Stress,0.34715155,0.038326256,0.08824082,0.03883684,0.23573586,0.015783614,0.2359251,0.34715155
10385.png,Angry,Sad,Mild_Stress,0.14175943,0.03346741,0.103005536,0.029463649,0.40791735,0.0139636705,0.270423,0.40791735
10388.png,Angry,Angry,Severe_Stress,0.29646194,0.16375098,0.18840377,0.0037891325,0.2577552,0.0054823444,0.084356755,0.29646194
1039.png,Angry,Sad,Mild_Stress,0.36007684,0.049814638,0.08623701,0.03449951,0.36374497,0.0025998582,0.10302711,0.36374497
10394.png,Angry,Angry,Severe_Stress,0.44748184,0.09552515,0.07438379,0.04015254,0.1936769,0.021474836,0.12730497,0.44748184
10397.png,Angry,Sad,Mild_Stress,0.1539895,0.02577627,0.1257621,0.053121597,0.36697814,0.044607207,0.22976516,0.36697814
10399.png,Angry,Happy,Healthy,0.10329409,0.10423525,0.18883397,0.21996924,0.17222859,0.05244958,0.15898937,0.21996924
10401.png,Angry,Neutral,Healthy,0.082185246,0.024058266,0.17479198,0.032615982,0.12788077,0.049311157,0.5091566,0.5091566
10415.png,Angry,Fear,Moderate_Stress,0.048990183,0.08747693,0.29477736,0.07450262,0.15610845,0.14316985,0.19497466,0.29477736
10420.png,Angry,Angry,Severe_Stress,0.5861064,0.04339071,0.23411004,0.010715586,0.091502674,0.016185516,0.01798901,0.5861064
10426.png,Angry,Angry,Severe_Stress,0.5160411,0.087563835,0.11748519,0.025662042,0.1402912,0.007158081,0.1057986,0.5160411
10429.png,Angry,Angry,Severe_Stress,0.6228613,0.035552803,0.05734116,0.0059537487,0.123906806,0.002406443,0.1519777,0.6228613
10430.png,Angry,Fear,Moderate_Stress,0.1817445,0.07645709,0.3537905,0.021877779,0.05625831,0.2730228,0.036848977,0.3537905
10431.png,Angry,Sad,Mild_Stress,0.23470765,0.069631144,0.08168583,0.03646405,0.38095754,0.019068195,0.17748556,0.38095754
10439.png,Angry,Happy,Healthy,0.20073737,0.17795122,0.13835995,0.42966858,0.034150872,0.0057829553,0.013349132,0.42966858
10440.png,Angry,Surprise,Mild_Stress,0.19925506,0.043720655,0.25373462,0.011988462,0.049142696,0.36951047,0.072648145,0.36951047
10441.png,Angry,Sad,Mild_Stress,0.27777973,0.03366272,0.1304765,0.0061602276,0.41286865,0.014471735,0.12458044,0.41286865
10462.png,Angry,Angry,Severe_Stress,0.38595632,0.2826665,0.040470146,0.0032261913,0.15078586,0.0016043906,0.13529061,0.38595632
10472.png,Angry,Sad,Mild_Stress,0.15565997,0.18921766,0.2200877,0.04919412,0.30482543,0.007955766,0.073059335,0.30482543
10475.png,Angry,Angry,Severe_Stress,0.26644722,0.1811651,0.19130857,0.21576494,0.083338216,0.009600142,0.052375745,0.26644722
10490.png,Angry,Angry,Severe_Stress,0.20885949,0.15831071,0.18867311,0.07774904,0.102169044,0.056369405,0.20786922,0.20885949
10497.png,Angry,Angry,Severe_Stress,0.503366,0.088999875,0.13192163,0.046323918,0.11764627,0.028365863,0.08337652,0.503366
1051.png,Angry,Disgust,Moderate_Stress,0.21605936,0.57372206,0.16966356,0.00098187,0.03644951,0.0015645367,0.0015590852,0.57372206
10510.png,Angry,Angry,Severe_Stress,0.40248188,0.037171464,0.322616,0.038567584,0.04344993,0.12983917,0.025873963,0.40248188
10511.png,Angry,Happy,Healthy,0.1523711,0.02276605,0.03777399,0.65930015,0.05140323,0.020129044,0.05625642,0.65930015
10541.png,Angry,Angry,Severe_Stress,0.54040277,0.15979244,0.16228986,0.0059933015,0.06357684,0.03731852,0.030626308,0.54040277
10544.png,Angry,Angry,Severe_Stress,0.35496193,0.2792904,0.11251247,0.0011959942,0.16958264,0.0030069328,0.07944959,0.35496193
10548.png,Angry,Sad,Mild_Stress,0.27869293,0.06500237,0.035629895,0.014394886,0.3587892,0.0005374726,0.24695323,0.3587892
10551.png,Angry,Fear,Moderate_Stress,0.07613973,0.01583625,0.46965355,0.03430554,0.34999597,0.015431056,0.03863786,0.46965355
10554.png,Angry,Angry,Severe_Stress,0.59225106,0.09094774,0.07534298,0.17832516,0.033888966,0.008077066,0.021167032,0.59225106
10563.png,Angry,Angry,Severe_Stress,0.38097224,0.06388963,0.1692722,0.01900059,0.17098977,0.02345362,0.17242198,0.38097224
10573.png,Angry,Neutral,Healthy,0.21056537,0.021155952,0.10131174,0.06916031,0.1042502,0.032459863,0.4610965,0.4610965
10583.png,Angry,Neutral,Healthy,0.0565462,0.023528578,0.12151597,0.024836697,0.059260633,0.10594305,0.6083689,0.6083689
10592.png,Angry,Neutral,Healthy,0.12610282,0.28772736,0.082609214,0.0025522383,0.1665141,0.005189458,0.32930478,0.32930478
10595.png,Angry,Sad,Mild_Stress,0.14734307,0.05225376,0.10709888,0.099525444,0.22024332,0.19522062,0.17831495,0.22024332
10603.png,Angry,Sad,Mild_Stress,0.1124934,0.044051055,0.1331209,0.055661947,0.54498005,0.004317699,0.105375,0.54498005
10604.png,Angry,Angry,Severe_Stress,0.31938034,0.22419398,0.26235563,0.034164634,0.047204312,0.09096207,0.02173908,0.31938034
1061.png,Angry,Angry,Severe_Stress,0.24357942,0.10205441,0.2386631,0.08323786,0.16457464,0.05705251,0.110838085,0.24357942
10616.png,Angry,Disgust,Moderate_Stress,0.3059934,0.43803114,0.1925089,0.00035505483,0.035981648,0.010421311,0.016708558,0.43803114
10619.png,Angry,Angry,Severe_Stress,0.31749156,0.18603306,0.1012591,0.042757828,0.10620514,0.018211637,0.22804168,0.31749156
10623.png,Angry,Angry,Severe_Stress,0.25701556,0.07966587,0.12406787,0.117543094,0.25293905,0.03914206,0.12962651,0.25701556
10626.png,Angry,Angry,Severe_Stress,0.3084321,0.05347169,0.19029345,0.028707141,0.23339069,0.011939353,0.1737655,0.3084321
10651.png,Angry,Sad,Mild_Stress,0.3334385,0.054811843,0.11289793,0.0046695406,0.43808833,0.0014500119,0.05464374,0.43808833
10656.png,Angry,Angry,Severe_Stress,0.3596187,0.08881855,0.07962382,0.11122307,0.2878295,0.0042615877,0.06862477,0.3596187
1066.png,Angry,Angry,Severe_Stress,0.52413535,0.25277147,0.14911187,0.011010604,0.05181241,0.0068982486,0.0042599994,0.52413535
10661.png,Angry,Neutral,Healthy,0.22571768,0.1468111,0.08917249,0.007685097,0.24375537,0.01384445,0.2730138,0.2730138
10666.png,Angry,Disgust,Moderate_Stress,0.18813847,0.24442217,0.07818094,0.11104616,0.16740729,0.0022896305,0.20851538,0.24442217
10682.png,Angry,Neutral,Healthy,0.12543944,0.062651895,0.06680951,0.014335155,0.20642717,0.01579583,0.508541,0.508541
10692.png,Angry,Sad,Mild_Stress,0.23459135,0.038261306,0.18190472,0.10655825,0.33058327,0.023205627,0.0848955,0.33058327
10699.png,Angry,Angry,Severe_Stress,0.5393166,0.15771253,0.05795904,0.008547285,0.15223274,0.004951946,0.07927984,0.5393166
107.png,Angry,Angry,Severe_Stress,0.4865328,0.024856111,0.13916248,0.13824089,0.06629829,0.107885055,0.03702437,0.4865328
10702.png,Angry,Sad,Mild_Stress,0.23740949,0.12673886,0.06619291,0.012205402,0.3264888,0.0031241144,0.22784042,0.3264888
1071.png,Angry,Angry,Severe_Stress,0.56863624,0.2548164,0.117690444,0.0014554587,0.039659325,0.007760988,0.009981167,0.56863624
10714.png,Angry,Neutral,Healthy,0.04699155,0.008346639,0.044900097,0.05839054,0.15013558,0.010020322,0.6812153,0.6812153
10716.png,Angry,Disgust,Moderate_Stress,0.39125904,0.4708493,0.08006794,0.004766172,0.036059737,0.0032234692,0.013774274,0.4708493
10726.png,Angry,Neutral,Healthy,0.14318037,0.035798196,0.06117186,0.22155845,0.15230526,0.01752793,0.36845794,0.36845794
10729.png,Angry,Angry,Severe_Stress,0.63701344,0.07732935,0.13037907,0.018677229,0.09749905,0.011706273,0.027395595,0.63701344
10743.png,Angry,Angry,Severe_Stress,0.73666465,0.048452944,0.086228676,0.0017364299,0.05820145,0.01188519,0.056830786,0.73666465
10746.png,Angry,Neutral,Healthy,0.10274248,0.24744722,0.13527004,0.01757949,0.21788077,0.0044132983,0.2746667,0.2746667
10771.png,Angry,Fear,Moderate_Stress,0.119263984,0.03672405,0.2797097,0.026646297,0.08380477,0.2452551,0.2085961,0.2797097
10785.png,Angry,Angry,Severe_Stress,0.27425423,0.12415974,0.12157115,0.009024483,0.19252707,0.020174297,0.25828904,0.27425423
10786.png,Angry,Angry,Severe_Stress,0.35840574,0.08564645,0.08129462,0.022006286,0.17776355,0.003459426,0.27142385,0.35840574
10790.png,Angry,Angry,Severe_Stress,0.2856096,0.050392162,0.1150925,0.08629905,0.23109686,0.034344815,0.19716501,0.2856096
10805.png,Angry,Neutral,Healthy,0.07805627,0.021575004,0.14951982,0.082487784,0.17183173,0.18739715,0.30913225,0.30913225
10812.png,Angry,Angry,Severe_Stress,0.58407706,0.07782794,0.21238825,0.032389097,0.038692117,0.04834728,0.006278363,0.58407706
10814.png,Angry,Disgust,Moderate_Stress,0.24973269,0.307657,0.18376291,0.0039760615,0.18465774,0.008175894,0.062037762,0.307657
10818.png,Angry,Neutral,Healthy,0.111698255,0.084170654,0.21467347,0.020042423,0.18136053,0.06523933,0.3228154,0.3228154
10819.png,Angry,Sad,Mild_Stress,0.2865368,0.25708744,0.099361725,0.004036576,0.31021973,0.0023384958,0.0404193,0.31021973
10821.png,Angry,Disgust,Moderate_Stress,0.2210269,0.5158301,0.09886919,0.00058433285,0.121099085,0.0005350355,0.042055342,0.5158301
10823.png,Angry,Neutral,Healthy,0.023265854,0.026576802,0.093296185,0.017021634,0.07970286,0.0416581,0.71847856,0.71847856
10825.png,Angry,Sad,Mild_Stress,0.24588127,0.11165242,0.04968639,0.0011373872,0.31674433,0.002051153,0.2728471,0.31674433
10831.png,Angry,Angry,Severe_Stress,0.35730514,0.074029304,0.12257475,0.031468216,0.19878729,0.011925448,0.20390995,0.35730514
10839.png,Angry,Angry,Severe_Stress,0.38387525,0.023875533,0.25820148,0.11250897,0.022886744,0.19114646,0.0075055803,0.38387525
10851.png,Angry,Sad,Mild_Stress,0.18648589,0.024273252,0.19019319,0.014547171,0.5129758,0.01059626,0.060928423,0.5129758
10854.png,Angry,Disgust,Moderate_Stress,0.3781919,0.4738405,0.073463514,0.012396289,0.055713482,0.003485677,0.002908714,0.4738405
10874.png,Angry,Angry,Severe_Stress,0.8447004,0.021308882,0.09595653,0.0053731655,0.00942392,0.022227533,0.0010095167,0.8447004
10889.png,Angry,Fear,Moderate_Stress,0.13693385,0.040878326,0.31076398,0.010013783,0.16007374,0.11924341,0.22209285,0.31076398
10890.png,Angry,Disgust,Moderate_Stress,0.09820571,0.27505606,0.094965115,0.023030348,0.2560093,0.0062972307,0.24643621,0.27505606
10894.png,Angry,Neutral,Healthy,0.29749417,0.1300409,0.08857091,0.0075551765,0.10239936,0.010387869,0.3635516,0.3635516
1090.png,Angry,Fear,Moderate_Stress,0.17050312,0.135264,0.2948299,0.004731955,0.1777863,0.060213786,0.15667093,0.2948299
10900.png,Angry,Angry,Severe_Stress,0.28962946,0.08492833,0.11772471,0.2773623,0.13713937,0.029508462,0.06370746,0.28962946
10904.png,Angry,Angry,Severe_Stress,0.68819237,0.14560494,0.12710573,0.0012125348,0.033840835,0.0029237045,0.0011198971,0.68819237
10907.png,Angry,Happy,Healthy,0.046982445,0.041559204,0.1050603,0.5764746,0.028848711,0.16185859,0.03921609,0.5764746
10908.png,Angry,Angry,Severe_Stress,0.3484847,0.038296904,0.22549592,0.034619756,0.1384713,0.08510347,0.12952793,0.3484847
10913.png,Angry,Neutral,Healthy,0.044932157,0.041237082,0.1583221,0.112709515,0.116965815,0.21532114,0.31051216,0.31051216
10915.png,Angry,Sad,Mild_Stress,0.27506247,0.08518548,0.18648037,0.006177063,0.41658354,0.002330442,0.028180666,0.41658354
10918.png,Angry,Angry,Severe_Stress,0.5486164,0.06935951,0.1483178,0.078000434,0.03851265,0.09874392,0.018449344,0.5486164
10925.png,Angry,Angry,Severe_Stress,0.5668781,0.09695401,0.09896871,0.06152711,0.15447904,0.004351471,0.016841576,0.5668781
10928.png,Angry,Sad,Mild_Stress,0.12545037,0.03580255,0.15467258,0.04926885,0.3359218,0.016511917,0.28237194,0.3359218
10939.png,Angry,Fear,Moderate_Stress,0.109104104,0.016313871,0.3675435,0.024192961,0.22863926,0.19151443,0.06269184,0.3675435
10942.png,Angry,Angry,Severe_Stress,0.43476093,0.067899786,0.112611115,0.047131885,0.2236446,0.013270801,0.10068097,0.43476093
10947.png,Angry,Angry,Severe_Stress,0.28698292,0.07383413,0.15150967,0.11132067,0.13408329,0.035591073,0.2066782,0.28698292
10959.png,Angry,Angry,Severe_Stress,0.48191524,0.19863072,0.17249328,0.009746314,0.056511477,0.035828196,0.044874758,0.48191524
10961.png,Angry,Disgust,Moderate_Stress,0.32811114,0.4479461,0.047092095,0.018262925,0.10913255,0.0006744097,0.048780706,0.4479461
10965.png,Angry,Angry,Severe_Stress,0.46683794,0.05460101,0.2261824,0.025700688,0.06703662,0.14077967,0.01886166,0.46683794
10970.png,Angry,Angry,Severe_Stress,0.36307964,0.07810016,0.10750534,0.01102714,0.2614555,0.0022637886,0.17656843,0.36307964
10973.png,Angry,Sad,Mild_Stress,0.12321342,0.1551047,0.054474115,0.15015996,0.3953914,0.001855092,0.119801305,0.3953914
1098.png,Angry,Neutral,Healthy,0.1330151,0.04609189,0.17509222,0.015799113,0.2612741,0.027201824,0.34152573,0.34152573
10984.png,Angry,Angry,Severe_Stress,0.4848944,0.29124743,0.117779136,0.030260742,0.058242258,0.0037497403,0.013826271,0.4848944
10988.png,Angry,Fear,Moderate_Stress,0.20202643,0.042140048,0.2618915,0.017529083,0.1641831,0.13599965,0.17623022,0.2618915
10989.png,Angry,Angry,Severe_Stress,0.41943896,0.056232248,0.19012986,0.19021566,0.06937693,0.066383876,0.00822251,0.41943896
10994.png,Angry,Angry,Severe_Stress,0.6628141,0.05308121,0.08700989,0.044056125,0.06373234,0.05700548,0.032300882,0.6628141
11002.png,Angry,Neutral,Healthy,0.09362413,0.05767343,0.061320316,0.016802017,0.33012575,0.0050679683,0.43538636,0.43538636
11004.png,Angry,Angry,Severe_Stress,0.41547874,0.046664085,0.22207437,0.03387572,0.18236469,0.04383848,0.055704005,0.41547874
11008.png,Angry,Disgust,Moderate_Stress,0.26279223,0.36019808,0.23280284,0.0011259926,0.08147646,0.022164976,0.039439224,0.36019808
11011.png,Angry,Angry,Severe_Stress,0.3357477,0.08127318,0.06359042,0.0016953887,0.28796166,0.004164847,0.22556688,0.3357477
11014.png,Angry,Angry,Severe_Stress,0.7475506,0.0756405,0.09707796,0.0019739796,0.05812349,0.0075528133,0.012080611,0.7475506
11017.png,Angry,Sad,Mild_Stress,0.25650728,0.056373652,0.114285104,0.012455483,0.4497992,0.007317513,0.10326181,0.4497992
11018.png,Angry,Fear,Moderate_Stress,0.26476684,0.09196618,0.3518134,0.0034881602,0.1882308,0.021116203,0.078618385,0.3518134
1102.png,Angry,Angry,Severe_Stress,0.4341163,0.1761327,0.13341741,0.052655883,0.16405168,0.0017549888,0.037871014,0.4341163
11024.png,Angry,Neutral,Healthy,0.18487705,0.01466375,0.19547878,0.03987077,0.17690568,0.060632356,0.3275716,0.3275716
11028.png,Angry,Sad,Mild_Stress,0.12497602,0.26153693,0.08121063,0.0055223824,0.38032556,0.0020139846,0.14441453,0.38032556
11042.png,Angry,Sad,Mild_Stress,0.106565624,0.056611337,0.09369214,0.13470395,0.37205067,0.017089998,0.21928626,0.37205067
1105.png,Angry,Angry,Severe_Stress,0.32463846,0.04988806,0.1940604,0.03754015,0.14823605,0.05210476,0.19353203,0.32463846
11053.png,Angry,Sad,Mild_Stress,0.2112033,0.030567667,0.17547163,0.015987087,0.27455533,0.029297171,0.26291782,0.27455533
1106.png,Angry,Neutral,Healthy,0.21200907,0.0799722,0.12759401,0.08168406,0.121411294,0.018310864,0.3590185,0.3590185
11060.png,Angry,Neutral,Healthy,0.24685606,0.036149178,0.18903877,0.031895526,0.2054866,0.043708768,0.2468651,0.2468651
11075.png,Angry,Sad,Mild_Stress,0.17379475,0.09240253,0.14202516,0.02990128,0.3416145,0.038952477,0.18130934,0.3416145
1108.png,Angry,Fear,Moderate_Stress,0.19670537,0.061372668,0.30116796,0.05898681,0.12449687,0.15438484,0.10288542,0.30116796
11083.png,Angry,Angry,Severe_Stress,0.37685442,0.06996063,0.1339583,0.06937952,0.20129184,0.013616217,0.1349391,0.37685442
11093.png,Angry,Happy,Healthy,0.07192102,0.031890627,0.11971896,0.35059026,0.19484106,0.13940884,0.09162928,0.35059026
11096.png,Angry,Angry,Severe_Stress,0.5551929,0.123463236,0.20192067,0.0020247782,0.09337579,0.01148973,0.012532981,0.5551929
11102.png,Angry,Angry,Severe_Stress,0.34746435,0.18662064,0.09232743,0.01897473,0.1197464,0.007212653,0.22765377,0.34746435
11109.png,Angry,Angry,Severe_Stress,0.26816943,0.07673559,0.1475878,0.041690234,0.18477884,0.035020635,0.24601746,0.26816943
11113.png,Angry,Angry,Severe_Stress,0.5382397,0.06599726,0.1383461,0.026900595,0.20084047,0.005441259,0.024234591,0.5382397
11117.png,Angry,Angry,Severe_Stress,0.28360763,0.13175261,0.17766893,0.003686435,0.19471568,0.049475677,0.15909304,0.28360763
11118.png,Angry,Sad,Mild_Stress,0.17583503,0.113937706,0.16179512,0.0064635887,0.2688015,0.046536863,0.22663026,0.2688015
11151.png,Angry,Angry,Severe_Stress,0.5975573,0.05935632,0.20080319,0.0012086123,0.10998884,0.010451417,0.020634318,0.5975573
11153.png,Angry,Angry,Severe_Stress,0.38495594,0.037162032,0.07117181,0.015888466,0.13387606,0.007405781,0.34953994,0.38495594
11158.png,Angry,Sad,Mild_Stress,0.20031746,0.10849496,0.11215616,0.0069658905,0.39336124,0.0034470875,0.17525718,0.39336124
11169.png,Angry,Happy,Healthy,0.24330267,0.06820727,0.22079776,0.33658168,0.06575349,0.018690664,0.046666566,0.33658168
11174.png,Angry,Angry,Severe_Stress,0.85695565,0.04573024,0.050662342,0.018502971,0.021420464,0.0018077012,0.0049205795,0.85695565
11181.png,Angry,Neutral,Healthy,0.17746378,0.12822954,0.10526671,0.010067841,0.2569962,0.007950061,0.31402585,0.31402585
11186.png,Angry,Angry,Severe_Stress,0.47222948,0.042681534,0.13417597,0.0025848884,0.23148178,0.0071502537,0.10969607,0.47222948
11188.png,Angry,Fear,Moderate_Stress,0.25753295,0.078359336,0.3127971,0.041842718,0.16180739,0.10902066,0.038639847,0.3127971
11190.png,Angry,Fear,Moderate_Stress,0.26214844,0.12279159,0.26853904,0.018541828,0.10064716,0.1099655,0.1173665,0.26853904
11200.png,Angry,Sad,Mild_Stress,0.10725162,0.026470376,0.12120595,0.03974333,0.33701825,0.061766945,0.3065435,0.33701825
11205.png,Angry,Angry,Severe_Stress,0.5402007,0.33593065,0.07818422,0.00080334605,0.04078029,0.0007670905,0.0033336896,0.5402007
